rank,name,realm,faction,rating,wins,losses,class,spec
322,Bigvuqoffdam,area-52,ALLIANCE,2811,355,266,Priest,Holy
323,Sutsuj,stormrage,ALLIANCE,2809,197,143,Priest,Shadow
324,Finalbõss,tichondrius,HORDE,2806,252,187,Shaman,Restoration
325,Gonemissing,malganis,HORDE,2805,298,257,Unknown,Unknown
326,Kalvish,dalaran,ALLIANCE,2804,220,63,Rogue,Subtlety
326,Vanguards,tichondrius,ALLIANCE,2804,597,471,Paladin,Retribution
328,Dipixyz,tichondrius,ALLIANCE,2803,116,75,Warlock,Demonology
328,Meowdymaam,tichondrius,ALLIANCE,2803,421,382,Unknown,Unknown
330,Silentforce,bleeding-hollow,ALLIANCE,2801,167,125,Rogue,Outlaw
331,Kirìtsugu,sargeras,ALLIANCE,2799,208,121,Unknown,Unknown
332,Spamndam,tichondrius,HORDE,2797,210,144,Priest,Shadow
332,Doritoww,sargeras,ALLIANCE,2797,319,264,Unknown,Unknown
334,Altsp,illidan,ALLIANCE,2796,510,423,Unknown,Unknown
335,Exzistance,area-52,HORDE,2795,110,67,Warrior,Arms
335,Bludru,tichondrius,ALLIANCE,2795,462,350,Druid,Restoration
337,Oql,tichondrius,HORDE,2791,177,122,Death Knight,Unholy
338,Breezylol,korgath,ALLIANCE,2790,159,114,Paladin,Retribution
339,Mnmmnmmnmnmm,bloodhoof,HORDE,2789,159,106,Hunter,Marksmanship
339,Ibetyourdumb,tichondrius,ALLIANCE,2789,280,198,Unknown,Unknown
339,Robotwo,illidan,HORDE,2789,282,215,Hunter,Marksmanship
342,Euprodogy,stormrage,ALLIANCE,2788,184,134,Evoker,Devastation
342,Blasimauli,stormrage,ALLIANCE,2788,184,134,Evoker,Preservation
342,Bigdosser,stormrage,ALLIANCE,2788,184,134,Demon Hunter,Havoc
342,Frøzèñintïmê,tichondrius,HORDE,2788,286,211,Death Knight,Frost
346,Thugrose,blackrock,ALLIANCE,2787,506,400,Druid,Balance
346,Xënk,moon-guard,ALLIANCE,2787,498,455,Unknown,Unknown
348,Laryfsherman,tichondrius,ALLIANCE,2785,308,235,Druid,Balance
349,Wmxd,sargeras,ALLIANCE,2784,130,82,Unknown,Unknown
350,Kev,draktharon,HORDE,2783,141,90,Monk,Mistweaver
350,Sol,shandris,ALLIANCE,2783,249,210,Mage,Fire
352,Qpe,tichondrius,ALLIANCE,2782,156,121,Priest,Discipline
353,Aiden,burning-legion,HORDE,2778,183,124,Unknown,Unknown
353,Gaetanwr,sargeras,ALLIANCE,2778,203,141,Warrior,Arms
353,Palumorph,deathwing,ALLIANCE,2778,171,124,Unknown,Unknown
353,Wegofa,tichondrius,HORDE,2778,241,177,Death Knight,Unholy
357,Jix,frostmourne,ALLIANCE,2775,501,356,Unknown,Unknown
357,Zaiyge,bleeding-hollow,HORDE,2775,763,660,Mage,Fire
359,Atiersp,sargeras,HORDE,2772,1072,891,Priest,Shadow
360,Ntrx,stormrage,HORDE,2771,150,73,Unknown,Unknown
360,Metaphorsx,tichondrius,ALLIANCE,2771,175,134,Shaman,Restoration
362,Bigpiet,stormrage,HORDE,2770,269,222,Unknown,Unknown
363,Susié,dalaran,ALLIANCE,2769,470,410,Unknown,Unknown
364,Gaetanw,sargeras,ALLIANCE,2768,130,93,Warrior,Arms
364,Gaetanw,sargeras,ALLIANCE,2768,130,93,Warrior,Fury
365,Tmdumptruck,tichondrius,HORDE,2766,588,401,Shaman,Restoration
365,Imogenheap,sargeras,ALLIANCE,2766,136,94,Monk,Mistweaver
367,Åëöñíç,moon-guard,ALLIANCE,2765,233,185,Unknown,Unknown
367,Ladderxsham,area-52,ALLIANCE,2765,184,147,Shaman,Elemental
369,Dredre,aggramar,ALLIANCE,2764,235,189,Unknown,Unknown
369,Avdød,tichondrius,ALLIANCE,2764,392,316,Paladin,Holy
371,Redkangaroo,tichondrius,ALLIANCE,2763,307,204,Unknown,Unknown
372,Yumeko,shattered-halls,ALLIANCE,2762,149,104,Unknown,Unknown
372,Rmpmeeper,kilrogg,HORDE,2762,181,132,Priest,Discipline
372,Vinygar,illidan,HORDE,2762,369,309,Evoker,Preservation
375,Gamerdude,sargeras,ALLIANCE,2761,146,83,Warlock,Destruction
376,Joint,blackrock,ALLIANCE,2760,234,159,Rogue,Subtlety
376,Sultanofwind,malganis,HORDE,2760,153,105,Monk,Windwalker
378,Gum,moon-guard,ALLIANCE,2759,663,538,Monk,Windwalker
378,Hotdogseller,tichondrius,ALLIANCE,2759,313,258,Warlock,Affliction
380,Flokkx,sargeras,ALLIANCE,2757,293,215,Unknown,Unknown
380,Tritonx,aerie-peak,ALLIANCE,2757,333,246,Monk,Mistweaver
380,Slunks,tichondrius,ALLIANCE,2757,454,338,Monk,Mistweaver
380,Mulungdummy,stormrage,ALLIANCE,2757,362,279,Paladin,Retribution
380,Kaskã,tichondrius,HORDE,2757,151,130,Monk,Mistweaver
385,Rlyspiffy,deathwing,ALLIANCE,2755,429,313,Unknown,Unknown
386,Alaintgc,area-52,ALLIANCE,2753,177,115,Paladin,Retribution
386,Historìa,demon-soul,ALLIANCE,2753,180,122,Mage,Frost
386,Trashdiscx,thrall,ALLIANCE,2753,353,330,Priest,Discipline
389,Redbbc,blades-edge,ALLIANCE,2751,94,72,Paladin,Holy
389,Hariuseseya,sargeras,ALLIANCE,2751,79,68,Mage,Arcane
391,Victor,scilla,ALLIANCE,2750,213,160,Unknown,Unknown
392,Vîces,sargeras,ALLIANCE,2749,211,150,Warrior,Arms
392,Thugonomicz,demon-soul,ALLIANCE,2749,220,158,Warlock,Destruction
392,Poðr,magtheridon,ALLIANCE,2749,479,384,Unknown,Unknown
395,Fromcanada,tichondrius,HORDE,2748,183,138,Mage,Frost
395,Fromcanada,tichondrius,HORDE,2748,183,138,Mage,Frost
396,Zorian,tichondrius,HORDE,2747,163,133,Monk,Brewmaster
397,Meepvoker,tichondrius,HORDE,2746,321,216,Evoker,Preservation
398,Mindboink,executus,ALLIANCE,2745,82,51,Priest,Discipline
398,Buggin,icecrown,ALLIANCE,2745,104,75,Warrior,Fury
398,Maldiva,area-52,HORDE,2745,280,229,Warlock,Destruction
401,Ggchuckubzy,tichondrius,ALLIANCE,2744,217,114,Unknown,Unknown
401,Kalvishblind,dalaran,ALLIANCE,2744,171,109,Demon Hunter,Devourer
401,Kamahlên,malganis,ALLIANCE,2744,171,111,Unknown,Unknown
404,Sìléñtèýés,agamaggan,ALLIANCE,2743,539,474,Hunter,Marksmanship
405,Dannycarry,tichondrius,ALLIANCE,2742,446,283,Druid,Restoration
406,Iso,malganis,ALLIANCE,2741,386,347,Rogue,Subtlety
406,Kyphosis,illidan,HORDE,2741,392,362,Mage,Fire
406,Hiátusx,ragnaros,HORDE,2741,379,355,Priest,Holy
409,Linkinbiox,alleria,ALLIANCE,2740,293,257,Druid,Feral
410,Fromchinapwr,tichondrius,ALLIANCE,2739,182,100,Mage,Arcane
411,Rennx,zuljin,ALLIANCE,2738,411,297,Druid,Restoration
412,Beatman,blades-edge,ALLIANCE,2737,104,75,Paladin,Retribution
413,Trillm,illidan,ALLIANCE,2736,230,173,Monk,Windwalker
414,Hóódbyair,stormrage,ALLIANCE,2734,109,73,Unknown,Unknown
414,Nardwaur,tichondrius,ALLIANCE,2734,547,437,Druid,Balance
416,Shíkamaru,draktharon,ALLIANCE,2728,142,104,Druid,Feral
417,Jinitaimeikk,tichondrius,ALLIANCE,2726,174,102,Warlock,Demonology
418,ßîgðøg,shadowmoon,ALLIANCE,2725,235,185,Druid,Balance
418,Dragocula,tichondrius,ALLIANCE,2725,403,359,Evoker,Preservation
418,Jbz,balnazzar,ALLIANCE,2725,668,619,Druid,Balance
418,Mud,icecrown,ALLIANCE,2725,376,355,Warrior,Arms
418,Jdbthyr,malganis,HORDE,2725,318,309,Evoker,Devastation
423,Goðxçomplex,sargeras,ALLIANCE,2724,153,117,Unknown,Unknown
423,Vinygaar,stormrage,ALLIANCE,2724,366,281,Evoker,Preservation
423,Fakekeator,tichondrius,HORDE,2724,340,291,Demon Hunter,Havoc
426,Hiroller,blades-edge,HORDE,2723,113,82,Paladin,Retribution
426,Ttvslunkss,tichondrius,HORDE,2723,282,229,Unknown,Unknown
426,Execute,icecrown,HORDE,2723,167,136,Warrior,Arms
426,Perfect,crushridge,ALLIANCE,2723,190,160,Paladin,Holy
430,Getbustedon,blades-edge,HORDE,2722,203,150,Paladin,Retribution
430,Toonahzy,area-52,ALLIANCE,2722,137,107,Evoker,Preservation
430,Enzosp,illidan,ALLIANCE,2722,372,324,Unknown,Unknown
430,Elhyttzo,daggerspine,ALLIANCE,2722,589,516,Evoker,Preservation
430,Vãl,blackrock,ALLIANCE,2722,339,308,Rogue,Subtlety
435,Abäddön,illidan,ALLIANCE,2721,135,100,Demon Hunter,Havoc
436,Dxdx,dragonblight,ALLIANCE,2720,154,118,Mage,Fire
436,Sswf,auchindoun,HORDE,2720,351,283,Shaman,Enhancement
436,Shards,illidan,ALLIANCE,2720,655,597,Warlock,Destruction
439,Augmaigoat,stormrage,ALLIANCE,2719,630,523,Evoker,Preservation
439,Bmx,sargeras,HORDE,2719,148,132,Unknown,Unknown
441,Sct,sargeras,ALLIANCE,2718,136,103,Paladin,Holy
441,Sct,sargeras,ALLIANCE,2718,136,103,Paladin,Protection
441,Trilldh,illidan,ALLIANCE,2718,242,184,Demon Hunter,Devourer
443,Caprise,tichondrius,ALLIANCE,2717,125,90,Shaman,Restoration
443,Caprise,tichondrius,ALLIANCE,2717,125,90,Shaman,Restoration
443,Tojizennin,tichondrius,HORDE,2717,168,121,Unknown,Unknown
443,Grøõvýgerald,stormrage,ALLIANCE,2717,221,171,Rogue,Assassination
446,Jésús,dalaran,ALLIANCE,2716,937,822,Hunter,Survival
447,Diamondroley,area-52,ALLIANCE,2714,202,143,Unknown,Unknown
447,Nerfkidney,area-52,HORDE,2714,754,671,Rogue,Outlaw
449,Pxry,drenden,ALLIANCE,2713,204,94,Hunter,Survival
449,Pxry,drenden,ALLIANCE,2713,204,94,Hunter,Survival
449,Deputybadger,illidan,ALLIANCE,2713,342,291,Shaman,Restoration
451,Madnusz,zuljin,ALLIANCE,2712,196,166,Warrior,Fury
452,Montageyo,illidan,ALLIANCE,2711,203,140,Unknown,Unknown
452,Isometrics,barthilas,ALLIANCE,2711,286,210,Warlock,Destruction
452,Flayx,draka,ALLIANCE,2711,477,399,Mage,Arcane
452,Magictokerx,bleeding-hollow,ALLIANCE,2711,282,252,Rogue,Assassination
452,Thiccbiscuit,area-52,HORDE,2711,429,393,Warrior,Arms
452,Sungjinwøø,tichondrius,ALLIANCE,2711,220,202,Paladin,Retribution
458,Chun,malganis,ALLIANCE,2710,273,176,Evoker,Devastation
458,Cavatea,illidan,HORDE,2710,361,299,Priest,Holy
458,Boomsurge,malganis,ALLIANCE,2710,350,334,Druid,Feral
461,Fungiforest,kelthuzad,HORDE,2709,206,155,Warlock,Demonology
462,Weswatson,tichondrius,ALLIANCE,2706,643,500,Unknown,Unknown
462,Jinggeweer,illidan,ALLIANCE,2706,274,240,Druid,Feral
464,Uneasypz,tichondrius,ALLIANCE,2705,307,260,Paladin,Retribution
464,Dreamfuego,tichondrius,HORDE,2705,690,641,Evoker,Preservation
466,Spongebobx,tichondrius,ALLIANCE,2704,369,299,Unknown,Unknown
467,Gåmëgrïéfêr,bleeding-hollow,ALLIANCE,2703,95,78,Unknown,Unknown
468,Vantosabich,illidan,HORDE,2702,442,327,Unknown,Unknown
468,Chasington,area-52,HORDE,2702,111,88,Unknown,Unknown
468,Kamahlën,malganis,ALLIANCE,2702,473,419,Shaman,Elemental
468,Daddypompum,tichondrius,ALLIANCE,2702,516,468,Druid,Restoration
472,Catarïa,tichondrius,HORDE,2700,173,135,Unknown,Unknown
472,Szew,tichondrius,ALLIANCE,2700,173,135,Warrior,Arms
472,Kobaishome,tichondrius,ALLIANCE,2700,173,135,Druid,Restoration
472,Nate,hellscream,ALLIANCE,2700,278,234,Demon Hunter,Havoc
476,Jiyuda,sargeras,ALLIANCE,2699,598,430,Druid,Restoration
476,Piupius,tichondrius,ALLIANCE,2699,270,195,Warlock,Demonology
476,Xenk,moon-guard,ALLIANCE,2699,208,162,Paladin,Retribution
479,Jumperiswet,kelthuzad,ALLIANCE,2698,477,388,Unknown,Unknown
479,Immoolate,demon-soul,HORDE,2698,239,200,Warlock,Destruction
479,Magictoker,bleeding-hollow,ALLIANCE,2698,371,335,Rogue,Assassination
482,Flokkow,sargeras,ALLIANCE,2697,299,216,Unknown,Unknown
482,Bedtimes,tichondrius,ALLIANCE,2697,339,250,Warlock,Demonology
482,Piratepq,stormrage,ALLIANCE,2697,352,260,Paladin,Retribution
482,Soifon,aerie-peak,ALLIANCE,2697,163,124,Hunter,Marksmanship
482,Merawr,area-52,ALLIANCE,2697,203,158,Druid,Restoration
487,Mik,shandris,ALLIANCE,2696,336,273,Rogue,Assassination
487,Sabledraco,stormrage,ALLIANCE,2696,320,266,Unknown,Unknown
487,Wtfc,tichondrius,ALLIANCE,2696,149,124,Demon Hunter,Devourer
487,Croches,tichondrius,HORDE,2696,630,549,Demon Hunter,Havoc
487,Euswineferal,illidan,ALLIANCE,2696,242,214,Druid,Feral
492,Retwarfw,sargeras,ALLIANCE,2695,158,112,Warrior,Arms
492,Xantastic,area-52,ALLIANCE,2695,302,230,Druid,Balance
492,Differentíal,tichondrius,HORDE,2695,386,317,Priest,Shadow
495,Ãùrêïïíæ,tichondrius,ALLIANCE,2694,385,346,Demon Hunter,Havoc
496,Dewandoritos,kelthuzad,ALLIANCE,2693,848,659,Warlock,Affliction
496,Sct,zuljin,ALLIANCE,2693,135,106,Paladin,Holy
496,Sct,zuljin,ALLIANCE,2693,135,106,Paladin,Protection
498,Flóp,dalaran,ALLIANCE,2692,264,200,Unknown,Unknown
499,Notes,sargeras,ALLIANCE,2691,233,194,Druid,Balance
499,Victimgôd,emerald-dream,HORDE,2691,511,438,Evoker,Preservation
499,Ÿöskë,tichondrius,HORDE,2691,286,269,Hunter,Beast Mastery
502,Maldivà,tichondrius,HORDE,2690,434,357,Warlock,Destruction
502,Treantzxd,sargeras,ALLIANCE,2690,350,291,Druid,Restoration
504,Kamählên,malganis,ALLIANCE,2688,242,186,Shaman,Enhancement
505,Manofmystery,drenden,ALLIANCE,2687,137,57,Priest,Shadow
505,Iushy,tichondrius,ALLIANCE,2687,243,193,Druid,Restoration
505,Supatease,tichondrius,ALLIANCE,2687,232,196,Druid,Balance
505,Bestpallyus,kelthuzad,ALLIANCE,2687,179,156,Paladin,Holy
509,Vigasick,azralon,ALLIANCE,2686,521,419,Unknown,Unknown
510,Fåçëlèssøñè,agamaggan,ALLIANCE,2685,85,58,Hunter,Survival
510,Literally,bleeding-hollow,ALLIANCE,2685,161,140,Priest,Holy
512,Woddk,uldum,ALLIANCE,2684,160,111,Death Knight,Unholy
513,Guttyp,stormrage,HORDE,2683,98,72,Unknown,Unknown
513,Çòñvíçtíòñ,deathwing,ALLIANCE,2683,275,218,Druid,Balance
515,Saviorofsong,illidan,HORDE,2682,100,75,Unknown,Unknown
516,Tuzik,sargeras,ALLIANCE,2680,482,323,Unknown,Unknown
517,Djbig,sargeras,ALLIANCE,2679,829,561,Demon Hunter,Havoc
517,Meleegodx,darkspear,ALLIANCE,2679,218,167,Paladin,Retribution
519,Pvemeta,tichondrius,ALLIANCE,2677,190,119,Unknown,Unknown
519,Claudio,tichondrius,ALLIANCE,2677,283,195,Death Knight,Unholy
521,Bluefighter,tichondrius,ALLIANCE,2676,211,168,Unknown,Unknown
522,Nostwo,bleeding-hollow,HORDE,2675,194,160,Unknown,Unknown
522,Exrtj,sargeras,ALLIANCE,2675,311,266,Evoker,Preservation
522,Exrtj,sargeras,ALLIANCE,2675,311,266,Evoker,Preservation
522,Nickimínaj,illidan,HORDE,2675,321,294,Monk,Mistweaver
525,Hogxblue,sargeras,ALLIANCE,2674,239,155,Unknown,Unknown
526,Zaristel,altar-of-storms,ALLIANCE,2673,279,225,Demon Hunter,Havoc
526,Shifterx,illidan,ALLIANCE,2673,504,446,Unknown,Unknown
528,Galdradrela,stormrage,ALLIANCE,2672,131,88,Monk,Windwalker
528,Mudro,frostmourne,ALLIANCE,2672,390,285,Druid,Balance
528,Keator,tichondrius,HORDE,2672,482,375,Death Knight,Unholy
528,Lìfebloom,stormrage,ALLIANCE,2672,508,445,Unknown,Unknown
528,Hyttzdrag,hakkar,ALLIANCE,2672,497,459,Evoker,Preservation
533,Chanibad,sargeras,ALLIANCE,2671,141,40,Unknown,Unknown
533,Peezy,darkspear,ALLIANCE,2671,497,368,Warlock,Destruction
533,Bubblebuddyx,tichondrius,ALLIANCE,2671,391,330,Paladin,Retribution
536,Sonoftwodads,thrall,ALLIANCE,2670,158,101,Death Knight,Unholy
536,Darkspyro,area-52,HORDE,2670,417,334,Evoker,Preservation
538,Bigzistance,area-52,ALLIANCE,2669,111,74,Warrior,Fury
538,Shrekwarr,tichondrius,HORDE,2669,205,144,Warrior,Arms
538,Fawxfighter,thrall,ALLIANCE,2669,157,129,Demon Hunter,Havoc
538,Thelockzx,azralon,HORDE,2669,203,175,Warlock,Demonology
538,Calvoker,moon-guard,ALLIANCE,2669,485,433,Unknown,Unknown
543,Mikemfdragon,bleeding-hollow,HORDE,2668,354,271,Evoker,Preservation
544,Blustacks,sargeras,ALLIANCE,2667,140,75,Shaman,Elemental
544,Overhand,illidan,ALLIANCE,2667,232,153,Warrior,Arms
544,Holylolz,ragnaros,HORDE,2667,806,734,Unknown,Unknown
544,Kickbotmacro,illidan,ALLIANCE,2667,255,239,Unknown,Unknown
548,Gotshaman,area-52,ALLIANCE,2665,198,131,Shaman,Elemental
548,Spookyman,malganis,HORDE,2665,152,111,Priest,Shadow
548,Joaquinphx,sargeras,ALLIANCE,2665,1134,987,Druid,Balance
551,Babbiz,tichondrius,ALLIANCE,2664,98,64,Unknown,Unknown
551,Lx,grizzly-hills,ALLIANCE,2664,242,194,Druid,Restoration
551,Jaywaz,tichondrius,ALLIANCE,2664,497,479,Hunter,Survival
554,Sarlonk,stormrage,ALLIANCE,2663,126,82,Hunter,Survival
554,Ehtend,sargeras,ALLIANCE,2663,261,198,Demon Hunter,Havoc
556,Danarolls,spirestone,ALLIANCE,2662,195,135,Monk,Mistweaver
557,Sopicky,sargeras,ALLIANCE,2661,256,197,Demon Hunter,Havoc
557,Jtrxe,malganis,HORDE,2661,226,180,Evoker,Devastation
557,Maimx,alleria,ALLIANCE,2661,248,199,Druid,Feral
557,Sucia,khaz-modan,ALLIANCE,2661,298,250,Demon Hunter,Havoc
557,Keb,amanthul,ALLIANCE,2661,553,477,Druid,Restoration
557,Senàn,tichondrius,ALLIANCE,2661,878,776,Unknown,Unknown
557,Yuji,darkspear,ALLIANCE,2661,448,405,Paladin,Retribution
564,Jdcvswotrirs,tichondrius,ALLIANCE,2660,233,143,Rogue,Outlaw
564,Stacyzdad,illidan,ALLIANCE,2660,446,305,Shaman,Restoration
564,Illiililiill,bleeding-hollow,ALLIANCE,2660,319,270,Demon Hunter,Havoc
567,Brbpetmycat,zuljin,HORDE,2659,181,121,Demon Hunter,Havoc
567,Bluegator,tichondrius,HORDE,2659,115,81,Shaman,Restoration
567,Domeattenhp,area-52,ALLIANCE,2659,163,120,Priest,Discipline
570,Comedragon,area-52,HORDE,2658,169,116,Evoker,Devastation
570,Ryôikitenkai,illidan,ALLIANCE,2658,179,124,Unknown,Unknown
570,Gødøfshaølin,tichondrius,HORDE,2658,143,101,Monk,Windwalker
573,Kaqthedh,azjolnerub,ALLIANCE,2657,220,182,Unknown,Unknown
574,Xplosn,area-52,ALLIANCE,2656,653,442,Mage,Frost
574,Fromcanada,lightbringer,ALLIANCE,2656,133,93,Mage,Frost
574,Fromcanada,lightbringer,ALLIANCE,2656,133,93,Mage,Frost
574,Thebbwslayer,tichondrius,HORDE,2656,879,757,Warlock,Affliction
577,Kidseeghost,tichondrius,ALLIANCE,2655,173,106,Death Knight,Frost
577,Tackett,emerald-dream,ALLIANCE,2655,144,91,Unknown,Unknown
579,Magictokerxx,bleeding-hollow,ALLIANCE,2654,385,356,Rogue,Assassination
580,Zentheonxd,malganis,ALLIANCE,2653,368,321,Druid,Feral
581,Heavenscent,arathor,ALLIANCE,2652,141,88,Unknown,Unknown
581,Namaglizz,sargeras,HORDE,2652,112,71,Shaman,Elemental
581,Killbórn,azralon,HORDE,2652,231,163,Warrior,Fury
581,Saiiph,bleeding-hollow,HORDE,2652,185,147,Hunter,Marksmanship
581,Nimicbomb,tichondrius,ALLIANCE,2652,606,528,Hunter,Marksmanship
586,Hughmungus,moon-guard,ALLIANCE,2651,115,57,Unknown,Unknown
586,Wånshðttð,sargeras,ALLIANCE,2651,322,203,Evoker,Preservation
586,Dopaminep,shattered-halls,ALLIANCE,2651,159,116,Priest,Shadow
589,Nofoamlattes,thrall,ALLIANCE,2650,273,177,Unknown,Unknown
589,Blockmyexs,eitrigg,ALLIANCE,2650,128,99,Unknown,Unknown
589,Pannaxx,tichondrius,ALLIANCE,2650,343,320,Druid,Balance
592,Xrtj,tichondrius,ALLIANCE,2649,238,169,Evoker,Preservation
592,Rsk,tichondrius,ALLIANCE,2649,956,769,Unknown,Unknown
592,Soulrulerxc,tichondrius,ALLIANCE,2649,579,481,Warlock,Destruction
595,Smightxd,thrall,ALLIANCE,2648,182,128,Unknown,Unknown
595,Stripes,moon-guard,ALLIANCE,2648,381,278,Druid,Restoration
595,Robot,illidan,ALLIANCE,2648,259,198,Shaman,Elemental
595,Italianstud,area-52,ALLIANCE,2648,287,226,Druid,Feral
599,Meïzer,tichondrius,ALLIANCE,2647,149,87,Unknown,Unknown
599,Smrtdeath,zuljin,HORDE,2647,239,160,Shaman,Restoration
599,Papsiecan,tichondrius,HORDE,2647,122,84,Unknown,Unknown
599,Crudos,tichondrius,ALLIANCE,2647,412,388,Paladin,Retribution
603,Caliph,malganis,ALLIANCE,2646,228,156,Rogue,Assassination
603,Karmà,lightninghoof,ALLIANCE,2646,244,197,Evoker,Preservation
603,Felz,illidan,HORDE,2646,211,177,Unknown,Unknown
603,Aegx,stormrage,ALLIANCE,2646,152,132,Rogue,Subtlety
607,Diviniumz,bleeding-hollow,HORDE,2645,156,101,Death Knight,Unholy
607,Flystowardsu,stormrage,ALLIANCE,2645,155,113,Evoker,Devastation
607,Biggpharma,sargeras,ALLIANCE,2645,408,393,Druid,Feral
610,Ftïër,ragnaros,ALLIANCE,2644,107,80,Unknown,Unknown
610,Chidòrix,auchindoun,HORDE,2644,289,220,Shaman,Enhancement
610,Dipilga,proudmoore,ALLIANCE,2644,100,89,Shaman,Elemental
613,Mazaljot,kelthuzad,HORDE,2643,122,60,Warrior,Arms
613,Orochimaru,aerie-peak,ALLIANCE,2643,183,129,Unknown,Unknown
613,Kopioh,stormrage,ALLIANCE,2643,218,163,Paladin,Retribution
613,Flokkmoo,sargeras,ALLIANCE,2643,394,307,Unknown,Unknown
613,Goodoleflash,illidan,ALLIANCE,2643,194,175,Unknown,Unknown
613,Einsteinovic,zuljin,ALLIANCE,2643,292,278,Demon Hunter,Devourer
619,Notesjr,sargeras,ALLIANCE,2642,242,188,Unknown,Unknown
619,Ory,illidan,ALLIANCE,2642,284,244,Druid,Balance
619,Isömetrics,barthilas,ALLIANCE,2642,360,313,Warlock,Demonology
619,Croces,tichondrius,HORDE,2642,446,398,Demon Hunter,Havoc
619,Croces,tichondrius,HORDE,2642,446,398,Demon Hunter,Havoc
623,Dyllbar,tichondrius,ALLIANCE,2641,272,188,Shaman,Restoration
623,Avocadoyummy,tichondrius,HORDE,2641,167,116,Warrior,Arms
623,Hahahahahaha,drenden,ALLIANCE,2641,151,107,Unknown,Unknown
626,Leecornell,tichondrius,ALLIANCE,2640,292,176,Demon Hunter,Havoc
626,Pambeazley,bronzebeard,ALLIANCE,2640,194,137,Paladin,Retribution
628,Ssds,sargeras,ALLIANCE,2639,110,68,Hunter,Survival
628,Sammersgojo,illidan,HORDE,2639,106,73,Monk,Mistweaver
628,Xênk,moon-guard,HORDE,2639,517,442,Unknown,Unknown
628,Lenzoowttv,illidan,ALLIANCE,2639,430,414,Unknown,Unknown
632,Zlah,malganis,ALLIANCE,2638,216,160,Unknown,Unknown
632,Slunkss,tichondrius,HORDE,2638,242,205,Monk,Mistweaver
632,Cryogeniks,illidan,ALLIANCE,2638,481,462,Mage,Frost
635,Chás,area-52,ALLIANCE,2637,256,216,Druid,Restoration
636,Kimchishot,tichondrius,HORDE,2636,272,221,Hunter,Survival
636,Thompson,bloodscalp,ALLIANCE,2636,927,809,Rogue,Assassination
636,Happydáys,tichondrius,HORDE,2636,569,549,Evoker,Devastation
639,Purifiedirlx,area-52,ALLIANCE,2635,121,66,Paladin,Holy
639,Pmakehaha,area-52,ALLIANCE,2635,374,251,Unknown,Unknown
639,Goreckiq,hyjal,ALLIANCE,2635,1068,785,Unknown,Unknown
642,Thedaz,stormrage,HORDE,2634,79,55,Unknown,Unknown
642,Metafour,arthas,HORDE,2634,436,376,Shaman,Restoration
644,Ampedcey,tichondrius,ALLIANCE,2633,144,93,Unknown,Unknown
644,Xiuni,shadowmoon,ALLIANCE,2633,156,127,Priest,Holy
644,Montagego,illidan,ALLIANCE,2633,367,335,Paladin,Holy
647,Reynel,tichondrius,HORDE,2632,300,201,Hunter,Beast Mastery
647,Buffms,sargeras,ALLIANCE,2632,116,78,Paladin,Retribution
647,Dylôn,tichondrius,HORDE,2632,205,207,Unknown,Unknown
650,Poliwog,tichondrius,ALLIANCE,2631,121,81,Paladin,Retribution
650,Gratiens,zuljin,HORDE,2631,193,139,Shaman,Restoration
650,Cmg,sargeras,ALLIANCE,2631,179,142,Priest,Shadow
650,Montagedark,illidan,ALLIANCE,2631,219,174,Unknown,Unknown
650,Wakeenfiendx,sargeras,ALLIANCE,2631,856,783,Unknown,Unknown
655,Mangotang,dalaran,HORDE,2630,118,66,Unknown,Unknown
655,Bastila,zuljin,ALLIANCE,2630,171,129,Paladin,Retribution
657,Jahvilli,tichondrius,HORDE,2629,322,219,Unknown,Unknown
658,Gudóngmae,stormrage,ALLIANCE,2628,73,49,Priest,Holy
658,Askronnie,sargeras,ALLIANCE,2628,260,206,Shaman,Enhancement
658,Cheddy,tichondrius,ALLIANCE,2628,286,227,Unknown,Unknown
661,Orochisháman,stormrage,ALLIANCE,2627,385,309,Shaman,Restoration
662,Finesthour,icecrown,ALLIANCE,2626,123,62,Death Knight,Unholy
662,Samstupidiot,illidan,ALLIANCE,2626,415,321,Evoker,Preservation
662,Mizukï,sargeras,HORDE,2626,302,267,Unknown,Unknown
665,Rägnarr,tichondrius,ALLIANCE,2625,110,63,Warrior,Fury
665,Mugiwara,frostwolf,ALLIANCE,2625,160,122,Hunter,Marksmanship
665,Thickies,emerald-dream,HORDE,2625,172,139,Unknown,Unknown
665,Pandadruidf,malganis,ALLIANCE,2625,331,283,Unknown,Unknown
669,Drinkone,frostmourne,ALLIANCE,2624,156,62,Druid,Balance
669,Squaller,tichondrius,HORDE,2624,279,136,Unknown,Unknown
669,Pmake,area-52,ALLIANCE,2624,234,177,Mage,Frost
672,Itsjimmy,korgath,HORDE,2623,153,96,Priest,Discipline
672,Pigmahz,malganis,HORDE,2623,120,89,Warlock,Destruction
672,Rundaim,azralon,ALLIANCE,2623,1177,946,Death Knight,Unholy
672,Reedyjr,tichondrius,ALLIANCE,2623,457,396,Priest,Discipline
672,Rennarlock,tichondrius,ALLIANCE,2623,198,174,Warlock,Destruction
677,Iegoland,sargeras,ALLIANCE,2622,157,123,Priest,Discipline
677,Chanigay,tichondrius,HORDE,2622,188,163,Warlock,Demonology
679,Vigarst,azralon,HORDE,2621,345,312,Unknown,Unknown
